Level,Fusion Combo,Classifier,Accuracy (%),Precision (%),Recall (%),F1-Score (%),AUC-ROC,FAR (%),FRR (%),TP,TN,FP,FN
Bimodal,Face + Keystroke,Random Forest,97.89,97.26,100.0,98.61,0.9971,8.33,0.0,71,22,2,0
Bimodal,Face + Keystroke,Logistic Regression,94.74,98.53,94.37,96.4,0.9906,4.17,5.63,67,23,1,4
Bimodal,Face + Keystroke,SVM (RBF),94.74,97.14,95.77,96.45,0.9572,8.33,4.23,68,22,2,3
Bimodal,Face + Keystroke,MLP,77.89,98.08,71.83,82.93,0.9595,4.17,28.17,51,23,1,20
Bimodal,Face + Voice,Random Forest,94.74,95.83,97.18,96.5,0.9844,12.5,2.82,69,21,3,2
Bimodal,Face + Voice,SVM (RBF),93.68,97.1,94.37,95.71,0.9718,8.33,5.63,67,22,2,4
Bimodal,Face + Voice,Logistic Regression,92.63,97.06,92.96,94.96,0.9812,8.33,7.04,66,22,2,5
Bimodal,Face + Voice,MLP,76.84,100.0,69.01,81.67,0.9636,0.0,30.99,49,24,0,22
Bimodal,Voice + Keystroke,Random Forest,93.68,94.52,97.18,95.83,0.9487,16.67,2.82,69,20,4,2
Bimodal,Voice + Keystroke,Logistic Regression,91.58,95.65,92.96,94.29,0.9701,12.5,7.04,66,21,3,5
Bimodal,Voice + Keystroke,SVM (RBF),90.53,95.59,91.55,93.53,0.9519,12.5,8.45,65,21,3,6
Bimodal,Voice + Keystroke,MLP,73.68,100.0,64.79,78.63,0.9707,0.0,35.21,46,24,0,25
Trimodal,Trimodal (F+V+K),Logistic Regression,96.84,98.57,97.18,97.87,0.9947,4.17,2.82,69,23,1,2
Trimodal,Trimodal (F+V+K),Random Forest,96.84,95.95,100.0,97.93,0.9965,12.5,0.0,71,21,3,0
Trimodal,Trimodal (F+V+K),SVM (RBF),95.79,98.55,95.77,97.14,0.9953,4.17,4.23,68,23,1,3
Trimodal,Trimodal (F+V+K),MLP,28.42,100.0,4.23,8.11,0.2547,0.0,95.77,3,24,0,68
